transaction_id,source_file,source_sheet,source_row,source_entity,proposed_reporting_entity,account_name,account_last4,account_type,transaction_date,posting_date,year,month,description_raw,description_normalized,merchant_normalized,original_category,combined_category,financial_statement_group,proposed_gl_account,deal_or_asset,amount_raw,debit,credit,cash_inflow,cash_outflow,business_or_personal,operating_or_nonoperating,revenue_or_expense,balance_sheet_activity,intercompany,owner_activity,reimbursement,credit_card_payment,loan_principal,interest,potential_duplicate,duplicate_group_id,transfer_match_id,confidence_score,review_status,review_reason,proposed_accounting_treatment,management_notes
7d7bc5e8c3a895e7,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,8,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-30,,2026,2026-06,AMAZON MARKEPLACE NA PA,AMAZON MARKEPLACE NA PA,AMAZON,Amazon,Office,Operating Expense,6070 Office,,130.8,130.8,0.0,0.0,130.8,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,70,OK,,Book to Office.,
d4d4ac4ae0839d2e,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,9,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-29,,2026,2026-06,EAI*TRAVIS CO TAX OFAUSTIN TX,EAI*TRAVIS CO TAX OFAUSTIN TX,EAI TRAVIS CO TAX,Deal Specific - Austin Iron,Deal - Pursuit Costs,Deal & Asset Cost,7000 Deal - Pursuit Costs,Austin Iron,1255.48,1255.48,0.0,0.0,1255.48,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,70,OK,,"Deal/asset cost — Austin Iron. Evaluate whether expensable, reimbursable, or capitalizable.",
211fdf0f91e4ce99,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,10,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-29,,2026,2026-06,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT THANK YOU,Deal Specific - Austin Iron,Credit Cards Payable,Balance Sheet,9010 Credit Cards Payable,Austin Iron,-1255.48,0.0,1255.48,1255.48,0.0,Business,Nonoperating,Balance Sheet,Yes,No,No,No,Yes,No,No,No,,XFER-0001,97,Auto-Excluded,Credit-card payment,Balance-sheet credit-card payment — exclude from operating expense (underlying charges captured separately).,
bce9c57d7e642854,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,11,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-24,,2026,2026-06,AMAZON MARKEPLACE NA PA,AMAZON MARKEPLACE NA PA,AMAZON,Amazon,Office,Operating Expense,6070 Office,,76.48,76.48,0.0,0.0,76.48,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,70,OK,,Book to Office.,
fc33326a96e60de0,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,12,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-24,,2026,2026-06,SP NOVAPETAL NYC NEW YORK NY,SP NOVAPETAL NYC NEW YORK NY,SP NOVAPETAL NYC NEW,Employee MISC,General & Administrative,Operating Expense,6160 General & Administrative,,240.98,240.98,0.0,0.0,240.98,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,55,Review,Low confidence,Book to General & Administrative.,
2c80f2b8e1eba1b4,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,13,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,AI Subscriptions,Software & Technology,Operating Expense,6030 Software & Technology,,10.6,10.6,0.0,0.0,10.6,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
132f8f51301d1ee4,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,14,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,AI Subscriptions,Software & Technology,Operating Expense,6030 Software & Technology,,10.62,10.62,0.0,0.0,10.62,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
a9c0cfa7fec8eadb,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,15,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,AI Subscriptions,Software & Technology,Operating Expense,6030 Software & Technology,,11.35,11.35,0.0,0.0,11.35,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
b9179ff9667662c1,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,16,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,ANTHROPIC SAN FRANCISCO CA,AI Subscriptions,Software & Technology,Operating Expense,6030 Software & Technology,,12.16,12.16,0.0,0.0,12.16,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
ff1a64d4e463d64a,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,17,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,ANTHROPIC* CLAUDE SUSAN FRANCISCO CA,ANTHROPIC* CLAUDE SUSAN FRANCISCO CA,ANTHROPIC CLAUDE SUSAN FRANCISCO,AI Subscriptions,Software & Technology,Operating Expense,6030 Software & Technology,,105.4,105.4,0.0,0.0,105.4,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
a76e9f20f31e2724,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,18,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-23,,2026,2026-06,MICROSOFT MSBILL.INFO,MICROSOFT MSBILL.INFO,MICROSOFT MSBILL INFO,DWG Operational Subscription,Software & Technology,Operating Expense,6030 Software & Technology,,0.99,0.99,0.0,0.0,0.99,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
6986942b7dbd5a85,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,19,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-22,,2026,2026-06,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,AMAZON COM AMZN COM,Amazon,Office,Operating Expense,6070 Office,,23.13,23.13,0.0,0.0,23.13,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,70,OK,,Book to Office.,
6d4c75ad7ccd6ec4,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,20,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-22,,2026,2026-06,GRANOLA INC DOVER DE,GRANOLA INC DOVER DE,GRANOLA INC DOVER DE,DWG Operational Subscription,Software & Technology,Operating Expense,6030 Software & Technology,,44.27,44.27,0.0,0.0,44.27,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
2e6c6ed0123e68e9,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,21,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-22,,2026,2026-06,MICROSOFT*STORE B2C MSBILL.INFO WA,MICROSOFT*STORE B2C MSBILL.INFO WA,MICROSOFT STORE B2C MSBILL,DWG Operational Subscription,Software & Technology,Operating Expense,6030 Software & Technology,,19.99,19.99,0.0,0.0,19.99,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
22ef5984359f29cd,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,22,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-22,,2026,2026-06,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT THANK YOU,Online AMEX Pmt,Credit Cards Payable,Balance Sheet,9010 Credit Cards Payable,,-3000.0,0.0,3000.0,3000.0,0.0,Business,Nonoperating,Balance Sheet,Yes,No,No,No,Yes,No,No,No,,XFER-0002,97,Auto-Excluded,Credit-card payment,Balance-sheet credit-card payment — exclude from operating expense (underlying charges captured separately).,
f93a8d73c07b3e88,June_2026_DWG_Capital_Partners.xlsx,Transaction Details,23,DWG Capital Partners,DWG Capital Partners,,01004,Account,2026-06-22,,2026,2026-06,WISPR SAN FRANCISCO CA,WISPR SAN FRANCISCO CA,WISPR SAN FRANCISCO CA,DWG Operational Subscription,Software & Technology,Operating Expense,6030 Software & Technology,,144.0,144.0,0.0,0.0,144.0,Business,Operating,Expense,No,No,No,No,No,No,No,No,,,86,OK,,Book to Software & Technology.,
