file,entity,account,period,imported,gross_inflows,gross_outflows,net,duplicates,transfers,cc_payments,personal,review,control_total,reconciled
2025_DWG_Capital_Group.xlsx,DWG Capital Group,1168,,1849,2173304.85,2192398.5200000023,19093.670000002254,0,133,23,789,1302,19093.670000002254,n/a
2025_DWG_Capital_Partners.xlsx,DWG Capital Partners,,,388,1476849.01,1475275.1099999987,-1573.9000000013039,0,46,6,217,288,-1573.9000000013039,n/a
2025_PlumCard_Dunnings.xlsx,DWG Capital Partners,27008,"Jan 1, 2025 – Dec 31, 2025",416,182795.92,218574.68999999992,35778.7699999999,0,14,14,221,255,35778.7699999999,Tie
2025_Poseidon_Asset_Group.xlsx,Poseidon Asset Group,9335,,789,2665480.2700000005,2704990.370000004,39510.10000000335,0,100,24,262,512,39510.10000000335,n/a
2025_Poseidon_Partners_AmexCharges.xlsx,Poseidon Partners,02000,Jan 2025 – Dec 2025,2045,354496.62000000005,347202.32999999897,-7294.290000001085,0,13,13,539,1217,-7294.290000001085,Tie
2026_DWG_Capital_Group.xlsx,DWG Capital Group,1168,,516,1037026.54,1064698.9399999995,27672.39999999944,0,42,0,87,273,27672.39999999944,n/a
2026_DWG_Capital_Partners.xlsx,DWG Capital Partners,,,537,6471900.960000001,6486381.950000021,14480.990000019781,0,28,1,346,398,14480.990000019781,n/a
2026_Poseidon_Asset_Group.xlsx,Poseidon Asset Group,9335,,466,679767.69,902248.8099999998,222481.11999999988,0,65,29,203,303,222481.11999999988,n/a
Angela_Full_Year_2025.xlsx,Angela (Personal),1117,Jan 2025 – Dec 2025,2299,335062.41000000003,336303.6299999995,1241.2199999994482,0,120,0,2195,2299,1241.2199999994482,"Diff 1,241.22"
Angela_Jan_July2026.xlsx,Angela (Personal),1117,Jan 2026 – Jul 2026,1367,225286.53999999998,225740.01999999996,453.4799999999814,0,67,0,1316,1367,453.4799999999814,Diff 453.48
Family_Amex_2025_2026.xlsx,John/Judd Dunning (Personal),46025,January 2025 - December 2025,487,43472.74,45309.139999999934,1836.399999999936,0,18,18,390,377,1836.399999999936,Diff -835.61
JanFeb_2026_Poseidon_Partners_Amex_Charges.xlsx,Poseidon Partners,2000,January 2026 - February 2026,254,56616.500000000015,44873.29000000002,-11743.209999999992,0,2,2,100,123,-11743.209999999992,Tie
JanJune_2026_Plum_Card_Amex_Charges.xlsx,DWG Capital Partners,27008,"Jan 1, 2026 – Jun 11, 2026",39,75210.3,127886.46000000004,52676.16000000003,0,4,4,15,22,52676.16000000003,Tie
John_L_Dunning_2025_2026_Amex_Charges.xlsx,John/Judd Dunning (Personal),27001,"Jan 1, 2025 – Dec 31, 2025",250,23309.709999999995,23309.860000000113,0.1500000001178705,58,18,24,216,171,0.1500000001178705,Diff 4.07
June_2026_DWG_Capital_Partners.xlsx,DWG Capital Partners,01004,"May 29, 2026 – Jun 30, 2026",99,16950.79,13714.409999999996,-3236.3800000000047,0,4,4,0,7,-3236.3800000000047,Tie
Mar-June_2026_DWGRE_Amex_Charges.xlsx,DWG Capital Group,81005,"Feb 21, 2026 – Jun 11, 2026",40,22620.0,26987.05,4367.049999999999,0,5,5,2,5,4367.049999999999,Tie
Mar-May_2026_DWGCP_Amex_Charges.xlsx,DWG Capital Partners,01004,"Feb 21, 2026 – May 29, 2026",101,18477.34,28501.699999999997,10024.359999999997,0,2,2,10,17,10024.359999999997,Tie
MarJune_2026_Poseidon_Partners_Amex_Charges.xlsx,Poseidon Partners,02000,March 2026 - June 2026,305,47495.04,55260.92000000001,7765.880000000012,0,3,3,164,229,7765.880000000012,Tie
